Coluna1,Coluna2,Coluna3,Coluna4,Coluna5
Women,2014,Martin Anouchka,FRA,25.65
Women,2014,Konopka Katrina,USA,25.66
Women,2014,Lim Amanda Xiang Qi,SIN,25.66
Women,2014,Mainville Ariane,CAN,25.66
Women,2014,Govejsek Nastja,SLO,25.67
Women,2014,Kinney Chase,USA,25.67
Women,2014,Pitzer Lauren,USA,25.68
Women,2014,Simmons Caroline,USA,25.68
Women,2014,Smoliga Olivia,USA,25.68
Women,2014,van Roon Valerie,NED,25.69
Women,2014,Carlson Kasey,USA,25.7
Women,2014,Kuras Magdalena,SWE,25.7
Women,2014,Burchill Veronica,USA,25.71
Women,2014,Souza Priscila,BRA,25.71
Women,2014,Waddington Emily,AUS,25.71
Women,2014,Bianchi Ilaria,ITA,25.72
Women,2014,Hosoda Rino,JPN,25.72
Women,2014,Satou Aya,JPN,25.72
Women,2014,Weech Ariel,BAH,25.72
Women,2014,de Waard Maaike,NED,25.73
Women,2014,Galat Bethany,USA,25.73
Women,2014,Hansson Louise,SWE,25.73
Women,2014,Lim Amanda Xiang Qi,SIN,25.73
Women,2014,Oshikawa Rina,JPN,25.73
Women,2014,Yamane Yui,JPN,25.73
Women,2014,Kost Nina,GER,25.75
Women,2014,Ago Misaki,JPN,25.76
Women,2014,Gates Melissa,USA,25.76
Women,2014,Grossmann Tess,EST,25.76
Women,2014,Lee Felicia,USA,25.76
Women,2014,Baklakova Maria,RUS,25.77
Women,2014,Hache Cloe,FRA,25.77
Women,2014,Cooper Harriet,GBR,25.78
Women,2014,Kudinova Ekaterina,RUS,25.78
Women,2014,Nesterova Margarita,RUS,25.78
Women,2014,Nilton Felizola Julia,BRA,25.78
Women,2014,van Rheenen Clarissa,NED,25.78
Women,2014,Ackman Alyson,CAN,25.79
Women,2014,Jensen Julie Kepp,DEN,25.79
Women,2014,Barbieri Arianna,ITA,25.8
Women,2014,Bjoernsen Susann,NOR,25.8
Women,2014,Haag Laurianne,FRA,25.8
Women,2014,Hall Kelsi,USA,25.8
Women,2014,Hindley Isabella,GBR,25.81
Women,2014,Rangelova Nina,BUL,25.81
Women,2014,Tanabe Shoko,JPN,25.81
Women,2014,Gannon Lizzie,AUS,25.82
Women,2014,Hill Morgan,USA,25.82
Women,2014,Labonge Natalie,USA,25.82
Women,2014,Pintar Tjasa,SLO,25.82
Women,2014,Sumiyoshi Mari,JPN,25.82
Women,2014,Ciesla Marta,USA,25.83
Women,2014,Kolarova Anna,CZE,25.83
Women,2014,Marques Sarah,BRA,25.83
Women,2014,Dowgiert Anna,POL,25.84
Women,2014,Jones Mariah,AUS,25.84
Women,2014,Liu Zhao,CHN,25.84
Women,2014,Surkova Arina,RUS,25.84
Women,2014,de Paula Daynara,BRA,25.85
Women,2014,Senden Chantal,BEL,25.85
Women,2014,Fa'Amausili Gabrielle,NZL,25.86
Women,2014,Fabre Margaux,FRA,25.86
Women,2014,Kraaijeveld Ilse,NED,25.86
Women,2014,McCullagh Nora,USA,25.86
Women,2014,Schick Taylor,USA,25.86
Women,2014,Jackson Lara,USA,25.87
Women,2014,Albertoli Kaitlyn,USA,25.88
Women,2014,Buchanan Carla,AUS,25.88
Women,2014,Groves Madeline,AUS,25.88
Women,2014,Latham Katie,GBR,25.88
Women,2014,Quah Ting Wen,SIN,25.88
Women,2014,Schmidt Kasey,USA,25.89
Women,2014,Avestruz Zoe,USA,25.9
Women,2014,Busch Kim,NED,25.9
Women,2014,Letang Maria Elena,FRA,25.9
Women,2014,Niangkouara Nery-Mantey,GRE,25.9
Women,2014,Scimone Jasmine,ITA,25.9
Women,2014,Alif Abdullah Nur Marina Chan Si Min,SIN,25.91
Women,2014,Bosma Sammie,USA,25.91
Women,2014,Chan Shi Min Nur Marina,SIN,25.91
Women,2014,Hu Janet,USA,25.91
Women,2014,Jakabos Zsuzsanna,HUN,25.91
Women,2014,Mack Linnea,USA,25.91
Women,2014,Ponson Allyson,ARU,25.91
Women,2014,Schneider Mimi,USA,25.91
Women,2014,Harrington Lauren,USA,25.92
Women,2014,McCarthy Hannah,GBR,25.92
Women,2014,Weiland Becca,USA,25.92
Women,2014,Wilkins Emma,GBR,25.92
Women,2014,Barber Eloise,GBR,25.93
Women,2014,Casarin Leyre,ITA,25.93
Women,2014,Johnson Kaitlyn,USA,25.93
Women,2014,de Luccas Natalia,BRA,25.94
Women,2014,Letrari Laura,ITA,25.94
Women,2014,Rauth Shannon,USA,25.94
Women,2014,Terejko Rebecca,CAN,25.94
Women,2014,Apostalon Anika,USA,25.95
Women,2014,Cakici Ilknur Nihan,TUR,25.95
Women,2014,de Jonge Saskia,NED,25.95
Women,2014,Moseley Constanze F,USA,25.95
Women,2014,O'Rourke Ellen,AUS,25.95
Women,2014,Palm Rebecka,SWE,25.95
Women,2014,Perry Ky-Lee,USA,25.95
Women,2014,Thomas Ellen,GBR,25.95
Women,2014,Kreundl Lena,AUT,25.96
Women,2014,Kurki Laura,FIN,25.96
Women,2014,MacKay Elli,AUS,25.96
Women,2014,Petryka Nikola,POL,25.96
Women,2014,Dahlia Kelsi,USA,25.96
Women,2014,Ibanez Lopez Liliana,MEX,25.97
Women,2014,Klein Nele,GER,25.97
Women,2014,Masson Rachel,GBR,25.97
Women,2014,Vay Meredith,USA,25.97
Women,2014,Velthuijs Nelly,NED,25.97
Women,2014,Meyers Alex,USA,25.98
Women,2014,Mochida Sachi,JPN,25.98
Women,2014,Franklin Missy,USA,25.99
Women,2014,Giareni Theodora,GRE,25.99
Women,2014,Najdanovski Miroslava,SRB,25.99
Women,2014,Steiger Jessica,GER,25.99
Women,2014,Sztandera Dominika,POL,25.99
Women,2014,Alkhaldi Jasmine P,PHI,26
Women,2014,Barratt Bronte,AUS,26
Women,2014,Chui Lai Kwan,MAS,26
Women,2014,Ko Miso,KOR,26
Women,2014,Schultz Paige,CAN,26
Women,2014,Vertigans Grace,GBR,26
Women,2014,Dressel Kaitlyn,USA,26.01
Women,2014,Quilter Laura G,NZL,26.01
Women,2014,Bonnet Charlotte,FRA,26.02
Women,2014,Delgado Fernanda,BRA,26.02
Women,2014,Nishihaya Sakura,JPN,26.02
Women,2014,Noshita Sachiyo,JPN,26.02
Women,2014,Scott Bailey,USA,26.02
Women,2014,Acker Rachael,USA,26.03
Women,2014,Lindborg Nathalie,SWE,26.03
Women,2014,Aigaliyeva Elmira,KAZ,26.04
Women,2014,Diamante Giovanna,BRA,26.04
Women,2014,Maughan Amelia,GBR,26.04
Women,2014,Osman Farida,EGY,26.04
Women,2014,Bruhn Annika,GER,26.05
Women,2014,Cleveland Alex,USA,26.05
Women,2014,Ellzey Ashton,USA,26.05
Women,2014,Misendova Barbora,SVK,26.05
Women,2014,Pigot Chinyere,SUR,26.05
Women,2014,Shikler Zohar,ISR,26.05
Women,2014,Thiemann Julia,GER,26.05
Women,2014,Wilson Madison,AUS,26.05
Women,2014,Allen Emily,USA,26.06
Women,2014,Hayden Rachel,USA,26.06
Women,2014,Keen Hannah,GBR,26.06
Women,2014,Siebner Keren,ISR,26.06
Women,2014,Wooden Allie,USA,26.06
Women,2014,Houghton Melanie,AUS,26.07
Women,2014,Thormalm Klara,SWE,26.07
Women,2014,Ama Julia,BRA,26.08
Women,2014,Goeders Anya,USA,26.08
Women,2014,Hansen Bryndis,ISL,26.08
Women,2014,Ribeiro Luana,BRA,26.08
Women,2014,Saal Sara-Jean,AUS,26.08
Women,2014,Smirnova Margaryta,UKR,26.08
Women,2014,Akao Yuho,JPN,26.09
Women,2014,Johannessen Monica,NOR,26.09
Women,2014,Karakouskaya Nastassia,BLR,26.09
Women,2014,Turner Rebecca,GBR,26.09
Women,2014,Vourna Kristel,GRE,26.09
Women,2014,Vreeland Shannon,USA,26.09
Women,2014,Zalewski Ellese,AUS,26.09
Women,2014,Patterson Anna,USA,26.1
Women,2014,Wasick Kasia,POL,26.1
Women,2014,Bergamaschi Carolina,BRA,26.11
Women,2014,Bispo Karlee,USA,26.11
Women,2014,Schubert Christine,GER,26.11
Women,2014,Honma Akari,JPN,26.12
Women,2014,Kremer Paige,CAN,26.12
Women,2014,Raco Lucrezia,ITA,26.12
Women,2014,Raspopovich Hannah,USA,26.12
Women,2014,Jallow Mimosa,FIN,26.13
Women,2014,Fehr Jackie,USA,26.14
Women,2014,Gemo Elena,ITA,26.14
Women,2014,Jeffrey Rhiannon,USA,26.14
Women,2014,Kawecka Anna,POL,26.14
Women,2014,Yao Jianan,CHN,26.14
Women,2014,Bauer Brooke,USA,26.15
Women,2014,Palmer Delenn,AUS,26.15
Women,2014,Pinho Rodrigues Ana,POR,26.15
Women,2014,Shibata Natsumi,JPN,26.15
Women,2014,Kishimoto Risa,JPN,26.16
Women,2014,Ngawati Kotuku,AUS,26.16
Women,2014,Pierse Fionnuala,CAN,26.16
Women,2014,Svensson Emma,SWE,26.16
Women,2014,Cooper Caitlin,USA,26.17
Women,2014,DeLoof Ali,USA,26.17
Women,2014,Galvao Paula Jardim E,BRA,26.17
Women,2014,Herrero Ansoleaga Carmen,ESP,26.17
Women,2014,Igasaki Hikaru,JPN,26.17
Women,2014,Johansson Emma,SWE,26.17
Women,2014,Kemp Lahesta,RSA,26.17
Women,2014,Lobbia Valentina,ITA,26.17
Women,2014,Zhao Grace,USA,26.17
Women,2014,Jagdfeld Abby,USA,26.18
Women,2014,Lindsay Hadley,AUS,26.18
Women,2014,Son Hazel,AUS,26.18
Women,2014,Swenson Evan,USA,26.18
Women,2014,Terink Rieneke,NED,26.18
Women,2014,Wang Ruiqi,CHN,26.18
Women,2014,Zheng Yao,CHN,26.18
Women,2014,Cunningham Victoria,USA,26.19
Women,2014,Merrell Eva,USA,26.19
Women,2014,Bruce Tain,GBR,26.2
Women,2014,Ceracchi Rachele,ITA,26.2
Women,2014,Yabu Hitomi,JPN,26.2
Women,2014,Arcila Isabella,COL,26.21
Women,2014,Duyzer Ashleigh,AUS,26.21
Women,2014,Hart Adelaide,AUS,26.21
Women,2014,Hoff Katie,USA,26.21
Women,2014,Thomas Noemie,CAN,26.21
Women,2014,Verraszto Evelyn,HUN,26.21
Women,2014,Aoki Tomomi,JPN,26.22
Women,2014,Hardesty Allyn,USA,26.22
Women,2014,Volpenhein Ashley,USA,26.22
Women,2014,Fanz Casey,USA,26.23
Women,2014,Gustafsdottir Eyglo Osk,ISL,26.23
Women,2014,Poli Lauren,USA,26.23
Women,2014,Ruchina Yulia,RUS,26.23
Women,2014,Santa Adrienn,HUN,26.23
Women,2014,Beckmann Emilie,DEN,26.24
Women,2014,Braunecker Avery,USA,26.24
Women,2014,Cheng Camille Lily Mei,HKG,26.24
Women,2014,Fryckowska Natalia,POL,26.24
Women,2014,Schaer Allegra,SUI,26.24
Women,2014,Sutherland Ashley,USA,26.24
Women,2014,Gliozeryte Eva,LTU,26.25
Women,2014,Larson Breeja,USA,26.25
Women,2014,Neri Veronica,ITA,26.25
Women,2014,Radounski Victoria,CAN,26.25
Women,2014,Schreiber Daniela,GER,26.25
Women,2014,Bond Ella,AUS,26.26
Women,2014,Cygan Magdalena,GBR,26.26
Women,2014,Jonsdottir Ingibjoerg Kristi,ISL,26.26
Women,2014,O'Rourke Clare,AUS,26.26
Women,2014,Umawatari Yukari,JPN,26.26
Women,2014,Brand Iris,NED,26.27
Women,2014,Heyn Georgina,GBR,26.27
Women,2014,Jackson Jessica,GBR,26.27
Women,2014,McTaggart Caroline,USA,26.27
Women,2014,Semeco Arlene,VEN,26.27
Women,2014,Thompson Cherelle,TRI,26.27
Women,2014,Yoo Minju,KOR,26.27
Women,2014,Zhu Yifei,CHN,26.27
Women,2014,Howard Megan,USA,26.28
Women,2014,Janiczek Joanna,POL,26.28
Women,2014,Sekura Misato,JPN,26.28
Women,2014,Srisa-Ard Jenjira,THA,26.28
Women,2014,Syllabova Miroslava,SVK,26.28
Women,2014,Zimcosky Emily,USA,26.28
Women,2014,Cozma Ionela,ROU,26.29
Women,2014,Di Liddo Elena,ITA,26.29
Women,2014,Mullakaeva Daria,RUS,26.29
Women,2014,Takahashi Momoko,JPN,26.29
Women,2014,Ashley-Cooper Jessica,RSA,26.3
Women,2014,Casini Juliette,GBR,26.3
Women,2014,Moolenaar Laura,NED,26.3
Women,2014,Rayner Freya,GBR,26.3
Women,2014,Baldwin Caroline,USA,26.31
Women,2014,Bonnema Riki,USA,26.31
Women,2014,Bootsma Rachel,USA,26.31
Women,2014,Gonzalez Crivillers Marta,ESP,26.31
Women,2014,Oldsen Ellysia,AUS,26.31
Women,2014,Sze Hang Yu,HKG,26.31
Women,2014,Votava Lauren,USA,26.31
Women,2014,de Langen Amy,NED,26.32
Women,2014,Gojakovicova Jovana,SVK,26.32
Women,2014,Jovanovic Sanja,CRO,26.32
Women,2014,Lahl Jenny,GER,26.32
Women,2014,Matthews Drew,CAN,26.32
Women,2014,Temo Annmarie,NZL,26.32
Women,2014,Touati Assia,FRA,26.32
Women,2014,Au Stephanie,HKG,26.33
Women,2014,Duffield Krista,USA,26.33
Women,2014,Gottwald Katrin,GER,26.33
Women,2014,Marquez Jennifer L,VEN,26.33
Women,2014,Marsh Alyssa,USA,26.33
Women,2014,Marsteller Alisabeth,USA,26.33
Women,2014,Ridout Emily,GBR,26.33
Women,2014,Aoyama Brittany,USA,26.34
Women,2014,Bogdanovski Anastasia,MKD,26.34
Women,2014,Heller Lauren,USA,26.34
Women,2014,Inazawa Hinako,JPN,26.34
Women,2014,Jensen Liv,USA,26.34
Women,2014,Klikopoulou Sofia,GRE,26.34
Women,2014,Niemi Marlene,FIN,26.34
Women,2014,Peris Minguet Mercedes,ESP,26.34
Women,2014,Pupulin Miriam,ITA,26.34
Women,2014,Salomonsson Nadja,SWE,26.34
Women,2014,Engel Lindsey,USA,26.35
Women,2014,Jones Kaitlin,USA,26.35
Women,2014,Junkrajang Natthanan,THA,26.35
Women,2014,Snodgrass Brooklynn,CAN,26.35
Women,2014,Tetzloff Aly,USA,26.35
Women,2014,Yamamoto Mayuka,JPN,26.35
Women,2014,Berrino Andrea,ARG,26.36
Women,2014,Davies Georgia,GBR,26.36
Women,2014,Lange Kerstin,GER,26.36
Women,2014,Maekinen Anna,FIN,26.36
Women,2014,Pelton Mary,USA,26.36
Women,2014,Carter Amber,USA,26.37
Women,2014,Kosak Anemari,SLO,26.37
Women,2014,Ledecky Katie,USA,26.37
Women,2014,Neale Leah,AUS,26.37
Women,2014,Nikitina Gabriela,LAT,26.37
Women,2014,Rasmussen Kelly Riber,DEN,26.37
Women,2014,Vandenberg Kim,USA,26.37
Women,2014,Verhaegen Jasmijn,BEL,26.37
Women,2014,Costa Eleonora,ITA,26.38
Women,2014,Takashima Hinano,JPN,26.38
Women,2014,Antonio Dandara,BRA,26.39
Women,2014,Baka Vasiliki-Stayroula,GRE,26.39
Women,2014,Bro Sarah,DEN,26.39
Women,2014,de Jong Ellie,NED,26.39
Women,2014,de Wit Maartje,NED,26.39
Women,2014,Lincoln Hannah,USA,26.39
Women,2014,Okano Kaho,JPN,26.39
Women,2014,Petit Cassandra,FRA,26.39
Women,2014,Smiddy Clara,USA,26.39
Women,2014,Smith Sophie,GBR,26.39
Women,2014,Stewart Kendyl,USA,26.39
Women,2014,Hawkins Julia,AUS,26.4
Women,2014,Richardson Caitlyn,AUS,26.4
Women,2014,Runge Cierra,USA,26.4
Women,2014,Unicomb Jessica,AUS,26.4
Women,2014,Wilden-Snedden Jazmine,AUS,26.4
Women,2014,Calegan Olivia,USA,26.41
Women,2014,Dittmer Erica,MEX,26.41
Women,2014,Ikeda Saki,JPN,26.41
Women,2014,Poulet Laure,FRA,26.41
Women,2014,Spagnolo Renata,ITA,26.41
Women,2014,Suo Ran,CHN,26.41
Women,2014,Brandt Claire,USA,26.42
Women,2014,Mattingly Zoe,USA,26.42
Women,2014,Triay Aixa,ARG,26.42
Women,2014,Fiorito Martina,ITA,26.43
Women,2014,Gastaldello Beryl,FRA,26.43
Women,2014,Rawlings Mikaela,AUS,26.43
Women,2014,Rodriguez Wendy,VEN,26.43
Women,2014,Tosky Jasmine,USA,26.43
Women,2014,Wicks Sam,USA,26.43
Women,2014,Fujitsu Kanako,JPN,26.44
Women,2014,Kicklighter Katie,USA,26.44
Women,2014,Kuhlmann Karolin,GER,26.44
Women,2014,Kuru Nilufer,TUR,26.44
Women,2014,Lucie-Smith Samantha M,NZL,26.44
Women,2014,Ferguson Hazel,GBR,26.45
Women,2014,Hashimoto Yuuki,JPN,26.45
Women,2014,Jongekrijg Annie,USA,26.45
Women,2014,Pataki Fanni,HUN,26.45
Women,2014,Ramsden Natasha,AUS,26.45
Women,2014,Takahashi Miki,JPN,26.45
Women,2014,Hamaduka Anju,JPN,26.46
Women,2014,Henique Melanie,FRA,26.46
Women,2014,Uiberreiter Lucy,AUT,26.46
Women,2014,Amano Yurina,JPN,26.47
Women,2014,Cameron Emily,USA,26.47
Women,2014,Edmond Hayley,NZL,26.47
Women,2014,Hoong En Qi,SIN,26.47
Women,2014,Lupton Lexie,USA,26.47
Women,2014,Miyamoto Yasuko,JPN,26.47
Women,2014,Munoz Del Campo Lidon,ESP,26.47
Women,2014,Todao Sabrina Jacob,BRA,26.47
Women,2014,Villars Danielle Carmen,SUI,26.47
Women,2014,Vogel Kylie,USA,26.47
Women,2014,Brown Erika,USA,26.48
Women,2014,Drolc Nina,SLO,26.48
Women,2014,Thomsen Kristina,DEN,26.48
Women,2014,Czeschner Elena,GER,26.49
Women,2014,Gilroy Breana,AUS,26.49
Women,2014,Ikuta Mayu,JPN,26.49
Women,2014,Kuna Miriam,GER,26.49
Women,2014,Lam Heather,CAN,26.49
Women,2014,Okada Amy,USA,26.49
Women,2014,Shinada Konoha,JPN,26.49
Women,2014,Wittmer Rachel,USA,26.49
Women,2014,Campbell Cate,AUS,52.62
Women,2014,Sjoestroem Sarah,SWE,52.67
Women,2014,Campbell Bronte,AUS,52.86
Women,2014,Heemskerk Femke,NED,53.19
Women,2014,Manuel Simone,USA,53.25
Women,2014,Franklin Missy,USA,53.43
Women,2014,McKeon Emma,AUS,53.43
Women,2014,Schlanger-Wright Melanie,AUS,53.51
Women,2014,Ottesen Jeanette,DEN,53.59
Women,2014,Hosszu Katinka,HUN,53.64
Women,2014,Coleman Michelle,SWE,53.66
Women,2014,Blume Pernille,DEN,53.69
Women,2014,Kromowidjojo Ranomi,NED,53.69
Women,2014,Shen Duo,CHN,53.84
Women,2014,Herasimenia Aliaksandra,BLR,53.89
Women,2014,Andrusenko Veronika,RUS,53.94
Women,2014,Halsall Francesca,GBR,53.99
Women,2014,Elmslie Brittany,AUS,54.06
Women,2014,O'Connor Siobhan-Marie,GBR,54.06
Women,2014,Muffat Camille,FRA,54.08
Women,2014,Vreeland Shannon,USA,54.14
Women,2014,Geer Margo,USA,54.17
Women,2014,Tang Yi,CHN,54.18
Women,2014,Uchida Miki,JPN,54.28
Women,2014,Ferraioli Erika,ITA,54.3
Women,2014,Kukla Yolane,AUS,54.3
Women,2014,Neal Lia,USA,54.34
Women,2014,Dekker Inge,NED,54.37
Women,2014,Vanderpool-Wallace Arianna,BAH,54.37
Women,2014,Weitzeil Abbey,USA,54.38
Women,2014,Qiu Yuhan,CHN,54.4
Women,2014,van Landeghem Chantal,CAN,54.43
Women,2014,Weir Amanda,USA,54.43
Women,2014,Schmitt Allison,USA,54.46
Women,2014,Prinsloo Karin,RSA,54.48
Women,2014,Zhang Yufei,CHN,54.51
Women,2014,Coughlin Natalie,USA,54.52
Women,2014,Coutts Alicia,AUS,54.55
Women,2014,Bonnet Charlotte,FRA,54.57
Women,2014,Haughey Siobhan,HKG,54.61
Women,2014,Oliveira Larissa,BRA,54.61
Women,2014,Hansson Louise,SWE,54.62
Women,2014,Poon Victoria,CAN,54.67
Women,2014,Kennedy Madison,USA,54.72
Women,2014,Matsuo Ami,AUS,54.72
Women,2014,Ye Shiwen,CHN,54.73
Women,2014,Barratt Bronte,AUS,54.75
Women,2014,Zhu Menghui,CHN,54.75
Women,2014,Hermann Graciele,BRA,54.76
Women,2014,Groves Madeline,AUS,54.77
Women,2014,Openysheva Arina,RUS,54.78
Women,2014,Jack Shayna,AUS,54.82
Women,2014,Romano Megan,USA,54.82
Women,2014,van der Meer Maud,NED,54.82
Women,2014,Pellegrini Federica,ITA,54.83
Women,2014,Bilquist Amy,USA,54.85
Women,2014,Gallardo Carapeto Fatima,ESP,54.85
Women,2014,Smith Amy,GBR,54.85
Women,2014,Chen Xinyi,CHN,54.87
Women,2014,Sun Meichen,CHN,54.87
Women,2014,Martin Ivy,USA,54.92
Women,2014,Gillett Chelsea,AUS,54.93
Women,2014,McJannett Lucy,AUS,54.93
Women,2014,Ledecky Katie,USA,54.96
Women,2014,Schaefer Maddy,USA,54.96
Women,2014,Murez Andrea,USA,54.97
Women,2014,Santamans Anna,FRA,54.98
Women,2014,Mizzau Alice,ITA,54.99
Women,2014,Garcia Vega Vanessa,PUR,55.01
Women,2014,Andreeva-Belyakova Viktoriya,RUS,55.02
Women,2014,Aoki Tomomi,JPN,55.03
Women,2014,Moseley Stanzi,USA,55.03
Women,2014,Nesterova Margarita,RUS,55.04
Women,2014,Brandt Dorothea,GER,55.05
Women,2014,Koschischek Birgit,AUT,55.05
Women,2014,Meili Katie,USA,55.05
Women,2014,Rangelova Nina,BUL,55.07
Women,2014,Matsumoto Yayoi,JPN,55.08
Women,2014,Cheng Camille Lily Mei,HKG,55.09
Women,2014,Mainville Sandrine,CAN,55.09
Women,2014,Ustinova Daria S,RUS,55.09
Women,2014,Lee Felicia,USA,55.1
Women,2014,Galizi Giada,ITA,55.14
Women,2014,Nasretdinova Rozaliya,RUS,55.14
Women,2014,Bruhn Annika,GER,55.15
Women,2014,Meilutyte Ruta,LTU,55.17
Women,2014,Yamaguchi Misaki,JPN,55.17
Women,2014,Mitchell Melissa,AUS,55.18
Women,2014,Vermeulen Esmee,NED,55.18
Women,2014,Fu Yuanhui,CHN,55.2
