Count;Course;Event;Cod;Gender;Date;Time;Athlete;Country;Meet;City;Nation;Type;Birthday;days;Age
39;LCM;100m freestyle;2;Women;20/10/1956;1:03.2;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS;Individual;01/10/1938;6594 ;18 years, 19 days
40;LCM;100m freestyle;2;Women;25/10/1956;1:02.4;CRAPP, Lorraine;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS;Individual;01/10/1938;6599 ;18 years, 24 days
41;LCM;100m freestyle;2;Women;01/12/1956;1:02.0;FRASER, Dawn;AUS;Olympic Games;Melbourne, Victoria;AUS;Individual;04/09/1937;7028 ;19 years, 88 days
42;LCM;100m freestyle;2;Women;18/02/1958;1:01.5;FRASER, Dawn;AUS;Australian Championships;Melbourne, Victoria;AUS;Individual;04/09/1937;7472 ;20 years, 167 days
43;LCM;100m freestyle;2;Women;21/07/1958;1:01.4;FRASER, Dawn;AUS;British Empire & Commonwealth Games;Cardiff, Glamorgan, Wales;GBR;Individual;04/09/1937;7625 ;20 years, 320 days
44;LCM;100m freestyle;2;Women;10/08/1958;1:01.2;FRASER, Dawn;AUS;;Schiedam;NED;Individual;04/09/1937;7645 ;20 years, 340 days
45;LCM;100m freestyle;2;Women;23/02/1960;1:00.2;FRASER, Dawn;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS;Individual;04/09/1937;8207 ;22 years, 172 days
46;LCM;100m freestyle;2;Women;23/10/1962;1:00.0;FRASER, Dawn;AUS;Australian British Empire & Commonwealth Games Trials;Melbourne, Victoria;AUS;Individual;04/09/1937;9180 ;25 years, 49 days
47;LCM;100m freestyle;2;Women;27/10/1962;59.9;FRASER, Dawn;AUS;Australian British Empire & Commonwealth Games Trials;Melbourne, Victoria;AUS;Individual;04/09/1937;9184 ;25 years, 53 days
48;LCM;100m freestyle;2;Women;24/11/1962;59.5;FRASER, Dawn;AUS;British Empire & Commonwealth Games;Perth, Western Australia;AUS;Individual;04/09/1937;9212 ;25 years, 81 days
49;LCM;100m freestyle;2;Women;29/02/1964;58.9;FRASER, Dawn;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS;Individual;04/09/1937;9674 ;26 years, 178 days
50;LCM;100m freestyle;2;Women;30/04/1971;58.9;GOULD, Shane;AUS;Coca Cola International;London, Greater London, England;GBR;Individual;23/11/1956;5271 ;14 years, 158 days
51;LCM;100m freestyle;2;Women;08/01/1972;58.5;GOULD, Shane;AUS;New South Wales State Championships;Sydney, New South Wales;AUS;Individual;23/11/1956;5524 ;15 years, 46 days
52;LCM;100m freestyle;2;Women;13/07/1973;58.25;ENDER, Kornelia;GDR;GDR Nationals & World Championship Trials;Berlin;GDR;Individual;25/10/1958;5375 ;14 years, 261 days
53;LCM;100m freestyle;2;Women;18/08/1973;58.12;ENDER, Kornelia;GDR;;Utrecht;NED;Individual;25/10/1958;5411 ;14 years, 297 days
54;LCM;100m freestyle;2;Women;08/09/1973;57.61;ENDER, Kornelia;GDR;World Championships;Beograd (Belgrade);YUG;Individual;25/10/1958;5432 ;14 years, 318 days
55;LCM;100m freestyle;2;Women;09/09/1973;57.542;ENDER, Kornelia;GDR;World Championships;Beograd (Belgrade);YUG;Individual;25/10/1958;5433 ;14 years, 319 days
56;LCM;100m freestyle;2;Women;19/08/1974;56.96;ENDER, Kornelia;GDR;European Championships;Wien (Vienna);AUT;Individual;25/10/1958;5777 ;15 years, 298 days
57;LCM;100m freestyle;2;Women;14/03/1975;56.38;ENDER, Kornelia;GDR;URS v GDR Dual Meet;Dresden, Dresden;GDR;Individual;25/10/1958;5984 ;16 years, 140 days
58;LCM;100m freestyle;2;Women;26/07/1975;56.22;ENDER, Kornelia;GDR;World Championships;Cali;COL;Individual;25/10/1958;6118 ;16 years, 274 days
59;LCM;100m freestyle;2;Women;01/06/1976;55.73;ENDER, Kornelia;GDR;GDR Olympic Trials;Berlin;GDR;Individual;25/10/1958;6429 ;17 years, 220 days
60;LCM;100m freestyle;2;Women;19/07/1976;55.65;ENDER, Kornelia;GDR;Olympic Games;Montr al, Qu bec;CAN;Individual;25/10/1958;6477 ;17 years, 268 days
61;LCM;100m freestyle;2;Women;05/07/1978;55.41;KRAUSE, Barbara;GDR;GDR Nationals & World Championship Trials;Berlin;GDR;Individual;07/07/1959;6938 ;18 years, 363 days
62;LCM;100m freestyle;2;Women;20/07/1980;54.98;KRAUSE, Barbara;GDR;Olympic Games;Moskva (Moscow);URS;Individual;07/07/1959;7684 ;21 years, 13 days
63;LCM;100m freestyle;2;Women;21/07/1980;54.79;KRAUSE, Barbara;GDR;Olympic Games;Moskva (Moscow);URS;Individual;07/07/1959;7685 ;21 years, 14 days
64;LCM;100m freestyle;2;Women;19/08/1986;54.73;OTTO, Kristin;GDR;World Championships;Madrid;ESP;Individual;07/02/1966;7498 ;20 years, 193 days
65;LCM;100m freestyle;2;Women;01/03/1992;54.48;THOMPSON, Jenny;USA;USA Olympic Trials;Indianapolis, Indiana;USA;Individual;26/02/1973;6943 ;19 years, 4 days
66;LCM;100m freestyle;2;Women;05/09/1994;54.01;LE, Jingyi;CHN;World Championships;Roma, Lazio;ITA;Individual;19/03/1975;7110 ;19 years, 170 days
67;LCM;100m freestyle;2;Women;28/05/2000;53.80;DE BRUIJN, Inge;NED;Super Speedo Grand Prix;Sheffield, South Yorkshire, England;GBR;Individual;24/08/1973;9774 ;26 years, 278 days
68;LCM;100m freestyle;2;Women;20/09/2000;53.77;DE BRUIJN, Inge;NED;Olympic Games;Sydney, New South Wales;AUS;Individual;24/08/1973;9889 ;27 years, 27 days
69;LCM;100m freestyle;2;Women;31/03/2004;53.66;LENTON, Libby;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS;Individual;28/01/1985;7002 ;19 years, 63 days
70;LCM;100m freestyle;2;Women;18/08/2004;53.52;HENRY, Jodie;AUS;Olympic Games;Athina;GRE;Individual;17/11/1983;7580 ;20 years, 275 days
71;LCM;100m freestyle;2;Women;31/01/2006;53.42;LENTON, Libby;AUS;Australian Championships & Commonwealth Games Trials;Melbourne, Victoria;AUS;Individual;28/01/1985;7673 ;21 years, 3 days
72;LCM;100m freestyle;2;Women;02/08/2006;53.30;STEFFEN, Britta;GER;European Championships;Budapest;HUN;Individual;16/11/1983;8295 ;22 years, 259 days
73;LCM;100m freestyle;2;Women;27/03/2008;52.88;LENTON, Libby;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS;Individual;28/01/1985;8459 ;23 years, 59 days
74;LCM;100m freestyle;2;Women;25/06/2009;52.85;STEFFEN, Britta;GER;German Championships;Berlin;GER;Individual;16/11/1983;9353 ;25 years, 221 days
75;LCM;100m freestyle;2;Women;27/06/2009;52.56;STEFFEN, Britta;GER;German Championships;Berlin;GER;Individual;16/11/1983;9355 ;25 years, 223 days
76;LCM;100m freestyle;2;Women;26/07/2009;52.22;STEFFEN, Britta;GER;World Championships;Roma, Lazio;ITA;Individual;16/11/1983;9384 ;25 years, 252 days
77;LCM;100m freestyle;2;Women;31/07/2009;52.07;STEFFEN, Britta;GER;World Championships;Roma, Lazio;ITA;Individual;16/11/1983;9389 ;25 years, 257 days
78;LCM;100m freestyle;2;Women;02/07/2016;52.06;CAMPBELL, Cate;AUS;;Brisbane, Queensland;AUS;Individual;20/05/1992;8809 ;24 years, 43 days
79;LCM;100m freestyle;2;Women;23/07/2017;51.71;SJOESTROEM, Sarah;SWE;World Championships;Budapest;HUN;Individual;17/08/1993;8741 ;23 years, 340 days
80;LCM;200m freestyle;3;Women;04/03/1915;2:56.0;DURACK, Fanny;AUS;;Sydney, New South Wales;AUS;Individual;27/10/3789;9258 ;25 years, 128 days
81;LCM;200m freestyle;3;Women;25/08/1921;2:47.6;BOYLE, Charlotte;USA;;New Brighton, Minnesota;USA;Individual;20/08/3799;8040 ;22 years, 5 days
82;LCM;200m freestyle;3;Women;04/04/1923;2:45.2;EDERLE, Gertrude;USA;;Brooklyn, New York;USA;Individual;23/10/1905;6372 ;17 years, 163 days
83;LCM;200m freestyle;3;Women;28/02/1926;2:40.6;NORELIUS, Martha;USA;;Miami, Florida;USA;Individual;22/01/1909;6246 ;17 years, 37 days
84;LCM;200m freestyle;3;Women;06/03/1930;2:34.6;MADISON, Helene;USA;;St. Augustine, Florida;USA;Individual;19/06/1913;6104 ;16 years, 260 days
85;LCM;200m freestyle;3;Women;03/05/1933;2:28.6;DEN OUDEN, Willy;NED;;Rotterdam, South Holland;NED;Individual;01/01/1918;5601 ;15 years, 122 days
86;LCM;200m freestyle;3;Women;05/05/1934;2:27.6;DEN OUDEN, Willy;NED;;Dundee;GBR;Individual;01/01/1918;5968 ;16 years, 124 days
87;LCM;200m freestyle;3;Women;08/09/1935;2:25.3;DEN OUDEN, Willy;NED;;K benhavn (Copenhagen);DEN;Individual;01/01/1918;6459 ;17 years, 250 days
88;LCM;200m freestyle;3;Women;26/02/1938;2:24.6;VAN VEEN, Rie;NED;;Rotterdam, South Holland;NED;Individual;11/02/1923;5494 ;15 years, 15 days
89;LCM;200m freestyle;3;Women;11/09/1938;2:21.7;HVEGER ANDERSEN, Ragnhild;DEN;;Aarhus, Aarhus County;DEN;Individual;10/12/1920;6484 ;17 years, 275 days
90;LCM;200m freestyle;3;Women;25/02/1956;2:20.7;FRASER, Dawn;AUS;Australian Championships;Sydney, New South Wales;AUS;Individual;04/09/1937;6748 ;18 years, 174 days
91;LCM;200m freestyle;3;Women;25/08/1956;2:19.3;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Townsville, Queensland;AUS;Individual;01/10/1938;6538 ;17 years, 329 days
92;LCM;200m freestyle;3;Women;20/10/1956;2:18.5;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS;Individual;01/10/1938;6594 ;18 years, 19 days
93;LCM;200m freestyle;3;Women;10/02/1958;2:17.7;FRASER, Dawn;AUS;;Adelaide, South Australia;AUS;Individual;04/09/1937;7464 ;20 years, 159 days
94;LCM;200m freestyle;3;Women;22/02/1958;2:14.7;FRASER, Dawn;AUS;Australian Championships;Melbourne, Victoria;AUS;Individual;04/09/1937;7476 ;20 years, 171 days
95;LCM;200m freestyle;3;Women;27/02/1960;2:11.6;FRASER, Dawn;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS;Individual;04/09/1937;8211 ;22 years, 176 days
96;LCM;200m freestyle;3;Women;19/08/1966;2:10.5;WATSON, Lillian Debra;USA;AAU Championships;Lincoln, Nebraska;USA;Individual;11/07/1950;5883 ;16 years, 39 days
97;LCM;200m freestyle;3;Women;19/08/1967;2:09.7;KRUSE, Pamela;USA;AAU Championships;Philadelphia, Pennsylvania;USA;Individual;03/06/1950;6286 ;17 years, 77 days
98;LCM;200m freestyle;3;Women;06/07/1968;2:09.5;PEDERSEN, Susan;USA;Santa Clara Invitational;Santa Clara, California;USA;Individual;16/10/1953;5377 ;14 years, 264 days
99;LCM;200m freestyle;3;Women;02/08/1968;2:08.8;WETZEL, Edith;USA;AAU Championships;Lincoln, Nebraska;USA;Individual;;;
100;LCM;200m freestyle;3;Women;24/08/1968;2:07.9;GUSTAVSON, Linda;USA;USA Olympic Trials;Long Beach, California;USA;Individual;30/11/1949;6842 ;18 years, 268 days
101;LCM;200m freestyle;3;Women;24/08/1968;2:06.86;MEYER, Debbie;USA;USA Olympic Trials;Long Beach, California;USA;Individual;14/08/1952;5854 ;16 years, 10 days
102;LCM;200m freestyle;3;Women;01/05/1971;2:06.5;GOULD, Shane;AUS;Coca Cola International;London, Greater London, England;GBR;Individual;23/11/1956;5272 ;14 years, 159 days
103;LCM;200m freestyle;3;Women;26/11/1971;2:05.8;GOULD, Shane;AUS;;Sydney, New South Wales;AUS;Individual;23/11/1956;5481 ;15 years, 3 days
104;LCM;200m freestyle;3;Women;04/08/1972;2:05.21;BABASHOFF, Shirley;USA;USA Olympic Trials;Chicago, Illinois;USA;Individual;31/01/1957;5664 ;15 years, 186 days
105;LCM;200m freestyle;3;Women;01/09/1972;2:03.56;GOULD, Shane;AUS;Olympic Games;M nchen, Bavaria;FRG;Individual;23/11/1956;5761 ;15 years, 283 days
106;LCM;200m freestyle;3;Women;22/08/1974;2:03.22;ENDER, Kornelia;GDR;European Championships;Wien (Vienna);AUT;Individual;25/10/1958;5780 ;15 years, 301 days
107;LCM;200m freestyle;3;Women;23/08/1974;2:02.94;BABASHOFF, Shirley;USA;AAU Championships;Concord, California;USA;Individual;31/01/1957;6413 ;17 years, 204 days
108;LCM;200m freestyle;3;Women;31/08/1974;2:02.94;BABASHOFF, Shirley;USA;USA v GDR Dual Meet;Concord, California;USA;Individual;31/01/1957;6421 ;17 years, 212 days
109;LCM;200m freestyle;3;Women;15/03/1975;2:02.27;ENDER, Kornelia;GDR;URS v GDR Dual Meet;Dresden, Dresden;GDR;Individual;25/10/1958;5985 ;16 years, 141 days
110;LCM;200m freestyle;3;Women;02/06/1976;1:59.78;ENDER, Kornelia;GDR;GDR Olympic Trials;Berlin;GDR;Individual;25/10/1958;6430 ;17 years, 221 days
111;LCM;200m freestyle;3;Women;22/07/1976;1:59.26;ENDER, Kornelia;GDR;Olympic Games;Montr al, Qu bec;CAN;Individual;25/10/1958;6480 ;17 years, 271 days
112;LCM;200m freestyle;3;Women;02/07/1978;1:59.04;KRAUSE, Barbara;GDR;GDR Nationals & World Championship Trials;Berlin;GDR;Individual;07/07/1959;6935 ;18 years, 360 days
113;LCM;200m freestyle;3;Women;22/08/1978;1:58.53;WOODHEAD, Cynthia;USA;World Championships;Berlin;FRG;Individual;07/02/1964;5310 ;14 years, 196 days
114;LCM;200m freestyle;3;Women;03/07/1979;1:58.43;WOODHEAD, Cynthia;USA;Pan American Games;San Juan;PUR;Individual;07/02/1964;5625 ;15 years, 146 days
115;LCM;200m freestyle;3;Women;03/09/1979;1:58.23;WOODHEAD, Cynthia;USA;FINA World Cup;Tokyo;JPN;Individual;07/02/1964;5687 ;15 years, 208 days
116;LCM;200m freestyle;3;Women;23/05/1984;1:57.75;OTTO, Kristin;GDR;GDR Nationals;Magdeburg, Magdeburg;GDR;Individual;07/02/1966;6680 ;18 years, 106 days
117;LCM;200m freestyle;3;Women;18/06/1986;1:57.55;FRIEDRICH, Heike;GDR;GDR Nationals & World Championship Trials;Berlin;GDR;Individual;18/04/1970;5905 ;16 years, 61 days
118;LCM;200m freestyle;3;Women;06/09/1994;1:56.78;VAN ALMSICK, Franziska;GER;World Championships;Roma, Lazio;ITA;Individual;05/04/1978;5998 ;16 years, 154 days
119;LCM;200m freestyle;3;Women;03/08/2002;1:56.64;VAN ALMSICK, Franziska;GER;European Championships;Berlin;GER;Individual;05/04/1978;8886 ;24 years, 120 days
120;LCM;200m freestyle;3;Women;27/03/2007;1:56.47;PELLEGRINI, Federica;ITA;World Championships;Melbourne, Victoria;AUS;Individual;05/08/1988;6808 ;18 years, 234 days
121;LCM;200m freestyle;3;Women;28/03/2007;1:55.52;MANAUDOU, Laure;FRA;World Championships;Melbourne, Victoria;AUS;Individual;09/10/1986;7475 ;20 years, 170 days
122;LCM;200m freestyle;3;Women;11/08/2008;1:55.45;PELLEGRINI, Federica;ITA;Olympic Games;Beijing;CHN;Individual;05/08/1988;7311 ;20 years, 6 days
123;LCM;200m freestyle;3;Women;13/08/2008;1:54.82;PELLEGRINI, Federica;ITA;Olympic Games;Beijing;CHN;Individual;05/08/1988;7313 ;20 years, 8 days
124;LCM;200m freestyle;3;Women;08/03/2009;1:54.47;PELLEGRINI, Federica;ITA;Italian Championships;Riccione;ITA;Individual;05/08/1988;7520 ;20 years, 215 days
125;LCM;200m freestyle;3;Women;28/07/2009;1:53.67;PELLEGRINI, Federica;ITA;World Championships;Roma, Lazio;ITA;Individual;05/08/1988;7662 ;20 years, 357 days
126;LCM;200m freestyle;3;Women;29/07/2009;1:52.98;PELLEGRINI, Federica;ITA;World Championships;Roma, Lazio;ITA;Individual;05/08/1988;7663 ;20 years, 358 days
127;LCM;200m freestyle;3;Women;26/07/2023;1:52.85;O'CALLAGHAN, Mollie;AUS;World Championships;Fukuoka, Fukuoka;JPN;Individual;02/04/2004;7054 ;19 years, 115 days
128;LCM;200m freestyle;3;Women;12/06/2024;1:52.23;TITMUS, Ariarne;AUS;Australian Olympic Trials;Brisbane, Queensland;AUS;Individual;07/09/2000;8679 ;23 years, 279 days
129;LCM;400m freestyle;4;Women;16/08/1919;6:30.2;BLEIBTREY, Ethelda;USA;;New York, New York;USA;Individual;27/02/1902;6379 ;17 years, 170 days
130;LCM;400m freestyle;4;Women;29/07/1921;6:16.6;JAMES, Hilda;GBR;;Leeds;GBR;Individual;27/04/1904;6302 ;17 years, 93 days
131;LCM;400m freestyle;4;Women;04/08/1922;5:53.2;EDERLE, Gertrude;USA;;Indianapolis, Indiana;USA;Individual;23/10/1905;6129 ;16 years, 285 days
132;LCM;400m freestyle;4;Women;23/01/1927;5:51.4;NORELIUS, Martha;USA;;Coral Gables, Florida;USA;Individual;22/01/1909;6575 ;18 years, 1 days
133;LCM;400m freestyle;4;Women;30/06/1928;5:49.6;NORELIUS, Martha;USA;;New York, New York;USA;Individual;22/01/1909;7099 ;19 years, 160 days
134;LCM;400m freestyle;4;Women;06/08/1928;5:42.8;NORELIUS, Martha;USA;Olympic Games;Amsterdam;NED;Individual;22/01/1909;7136 ;19 years, 197 days
135;LCM;400m freestyle;4;Women;27/08/1928;5:39.2;NORELIUS, Martha;USA;;Wien (Vienna);AUT;Individual;22/01/1909;7157 ;19 years, 218 days
136;LCM;400m freestyle;4;Women;03/02/1931;5:31.0;MADISON, Helene;USA;;Seattle, Washington;USA;Individual;19/06/1913;6438 ;17 years, 229 days
137;LCM;400m freestyle;4;Women;13/08/1932;5:28.5;MADISON, Helene;USA;Olympic Games;Los Angeles, California;USA;Individual;19/06/1913;6995 ;19 years, 55 days
138;LCM;400m freestyle;4;Women;12/07/1934;5:16.0;DEN OUDEN, Willy;NED;;Rotterdam, South Holland;NED;Individual;01/01/1918;6036 ;16 years, 192 days
139;LCM;400m freestyle;4;Women;10/02/1937;5:14.2;HVEGER ANDERSEN, Ragnhild;DEN;;K benhavn (Copenhagen);DEN;Individual;10/12/1920;5906 ;16 years, 62 days
140;LCM;400m freestyle;4;Women;03/10/1937;5:14.0;HVEGER ANDERSEN, Ragnhild;DEN;;Ghent;BEL;Individual;10/12/1920;6141 ;16 years, 297 days
141;LCM;400m freestyle;4;Women;14/11/1937;5:12.4;HVEGER ANDERSEN, Ragnhild;DEN;;Magdeburg, Magdeburg;GER;Individual;10/12/1920;6183 ;16 years, 339 days
142;LCM;400m freestyle;4;Women;12/12/1937;5:11.0;HVEGER ANDERSEN, Ragnhild;DEN;;K benhavn (Copenhagen);DEN;Individual;10/12/1920;6211 ;17 years, 2 days
143;LCM;400m freestyle;4;Women;16/01/1938;5:08.2;HVEGER ANDERSEN, Ragnhild;DEN;;K benhavn (Copenhagen);DEN;Individual;10/12/1920;6246 ;17 years, 37 days
144;LCM;400m freestyle;4;Women;01/08/1938;5:06.1;HVEGER ANDERSEN, Ragnhild;DEN;;K benhavn (Copenhagen);DEN;Individual;10/12/1920;6443 ;17 years, 234 days
145;LCM;400m freestyle;4;Women;08/09/1940;5:05.4;HVEGER ANDERSEN, Ragnhild;DEN;;Svendborg;DEN;Individual;10/12/1920;7212 ;19 years, 273 days
146;LCM;400m freestyle;4;Women;15/09/1940;5:00.1;HVEGER ANDERSEN, Ragnhild;DEN;;K benhavn (Copenhagen);DEN;Individual;10/12/1920;7219 ;19 years, 280 days
147;LCM;400m freestyle;4;Women;25/08/1956;4:50.8;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Townsville, Queensland;AUS;Individual;01/10/1938;6538 ;17 years, 329 days
148;LCM;400m freestyle;4;Women;20/10/1956;4:47.2;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS;Individual;01/10/1938;6594 ;18 years, 19 days
149;LCM;400m freestyle;4;Women;09/01/1960;4:45.4;KONRADS, Ilsa;AUS;;Sydney, New South Wales;AUS;Individual;29/03/1944;5764 ;15 years, 286 days
150;LCM;400m freestyle;4;Women;05/08/1960;4:44.5;VON SALTZA, Chris;USA;USA Olympic Trials;Detroit, Michigan;USA;Individual;13/01/1944;6049 ;16 years, 205 days
151;LCM;400m freestyle;4;Women;11/07/1964;4:42.0;RAMENOFSKY, Marilyn;USA;;Los Altos, California;USA;Individual;20/08/1946;6535 ;17 years, 326 days
152;LCM;400m freestyle;4;Women;01/08/1964;4:41.7;RAMENOFSKY, Marilyn;USA;USA Summer Nationals;Los Altos, California;USA;Individual;20/08/1946;6556 ;17 years, 347 days
153;LCM;400m freestyle;4;Women;31/08/1964;4:39.5;RAMENOFSKY, Marilyn;USA;;New York, New York;USA;Individual;20/08/1946;6586 ;18 years, 11 days
