count;Meet;Course;Year;Gender;Event;Rank;Athlete;Country;Time;time1;Margin
2078;Olympic Games;LCM;1924;Men;1500m freestyle;1;CHARLTON, Andrew;AUS;20:06.6;1206.6;34.8
2121;Olympic Games;LCM;1924;Men;100m backstroke;1;KEALOHA, Warren;USA;1:13.2;73.2;2.2
2164;Olympic Games;LCM;1924;Men;200m breaststroke;1;SKELTON, Bob;USA;2:56.6;176.6;2.6
2317;Olympic Games;LCM;1928;Women;100m freestyle;1;OSIPOWICH, Albina;USA;1:11.0;71;0.4
2367;Olympic Games;LCM;1928;Women;400m freestyle;1;NORELIUS, Martha;USA;5:42.8;342.8;15.0
2404;Olympic Games;LCM;1928;Women;100m backstroke;1;PHILIPSEN-BRAUN, Maria;NED;1:22.0;82;0.2
2427;Olympic Games;LCM;1928;Women;200m breaststroke;1;SCHRADER, Hilde;GER;3:12.6;192.6;2.6
2519;Olympic Games;LCM;1928;Men;100m freestyle;1;WEISSMULLER, Johnny;USA;58.6;58.6;1.2
2583;Olympic Games;LCM;1928;Men;400m freestyle;1;ZORRILLA, Alberto;ARG;5:01.6;301.6;2.0
2635;Olympic Games;LCM;1928;Men;1500m freestyle;1;BORG, Arne;SWE;19:51.8;1191.8;10.8
2678;Olympic Games;LCM;1928;Men;100m backstroke;1;KOJAC, George;USA;1:08.2;68.2;1.8
2722;Olympic Games;LCM;1928;Men;200m breaststroke;1;TSURUTA, Yoshiyuki;JPN;2:48.8;168.8;1.8
2841;Olympic Games;LCM;1932;Women;100m freestyle;1;MADISON, Helene;USA;1:06.8;66.8;1.0
2876;Olympic Games;LCM;1932;Women;400m freestyle;1;MADISON, Helene;USA;5:28.5;328.5;0.1
2905;Olympic Games;LCM;1932;Women;100m backstroke;1;HOLM, Eleanor;USA;1:19.4;79.4;1.9
2927;Olympic Games;LCM;1932;Women;200m breaststroke;1;DENNIS, Clare;AUS;3:06.3;186.3;0.1
2966;Olympic Games;LCM;1932;Men;100m freestyle;1;MIYAZAKI, Yasuji;JPN;58.2;58.2;0.4
3005;Olympic Games;LCM;1932;Men;400m freestyle;1;CRABBE, Clarence;USA;4:48.4;288.4;0.1
3049;Olympic Games;LCM;1932;Men;1500m freestyle;1;KITAMURA, Kusuo;JPN;19:12.4;1152.4;1.7
3080;Olympic Games;LCM;1932;Men;100m backstroke;1;KIYOKAWA, Masaji;JPN;1:08.6;68.6;1.2
3114;Olympic Games;LCM;1932;Men;200m breaststroke;1;TSURUTA, Yoshiyuki;JPN;2:45.4;165.4;1.2
3175;Olympic Games;LCM;1936;Women;100m freestyle;1;MASTENBROEK, Rie;NED;1:05.9;65.9;0.5
3234;Olympic Games;LCM;1936;Women;400m freestyle;1;MASTENBROEK, Rie;NED;5:26.4;326.4;1.1
3287;Olympic Games;LCM;1936;Women;100m backstroke;1;SENFF, Nida;NED;1:18.9;78.9;0.3
3328;Olympic Games;LCM;1936;Women;200m breaststroke;1;MAEHATA, Hideko;JPN;3:03.6;183.6;0.6
3438;Olympic Games;LCM;1936;Men;100m freestyle;1;CSIK, Ferenc;HUN;57.6;57.6;0.3
3512;Olympic Games;LCM;1936;Men;400m freestyle;1;MEDICA, Jack;USA;4:44.5;284.5;1.1
3574;Olympic Games;LCM;1936;Men;1500m freestyle;1;TERADA, Noboru;JPN;19:13.7;1153.7;20.3
3623;Olympic Games;LCM;1936;Men;100m backstroke;1;KIEFER, Adolph;USA;1:05.9;65.9;1.8
3681;Olympic Games;LCM;1936;Men;200m breaststroke;1;HAMURO, Tetsuo;JPN;2:41.5;161.5;1.4
3853;Olympic Games;LCM;1948;Women;100m freestyle;1;ANDERSEN, Greta;DEN;1:06.3;66.3;0.2
3912;Olympic Games;LCM;1948;Women;400m freestyle;1;CURTIS, Ann;USA;5:17.8;317.8;3.4
3959;Olympic Games;LCM;1948;Women;100m backstroke;1;HARUP, Karen Margrethe;DEN;1:14.4;74.4;1.6
4009;Olympic Games;LCM;1948;Women;200m breaststroke;1;VAN VLIET, Nel;NED;2:57.2;177.2;0.5
4131;Olympic Games;LCM;1948;Men;100m freestyle;1;RIS, Wally;USA;57.3;57.3;0.5
4201;Olympic Games;LCM;1948;Men;400m freestyle;1;SMITH, Bill;USA;4:41.0;281;2.4
4271;Olympic Games;LCM;1948;Men;1500m freestyle;1;MCLANE, James;USA;19:18.5;1158.5;12.8
4336;Olympic Games;LCM;1948;Men;100m backstroke;1;STACK, Allen;USA;1:06.4;66.4;0.1
4402;Olympic Games;LCM;1948;Men;200m breaststroke;1;VERDEUR, Joe;USA;2:39.3;159.3;0.9
4559;Olympic Games;LCM;1952;Women;100m freestyle;1;SZOKE, Katalin;HUN;1:06.8;66.8;0.2
4626;Olympic Games;LCM;1952;Women;400m freestyle;1;GYENGE, Valeria;HUN;5:12.1;312.1;1.6
4685;Olympic Games;LCM;1952;Women;100m backstroke;1;HARRISON, Joan;RSA;1:14.3;74.3;0.2
4717;Olympic Games;LCM;1952;Women;200m breaststroke;1;SZEKELY, Eva;HUN;2:51.7;171.7;2.7
4859;Olympic Games;LCM;1952;Men;100m freestyle;1;SCHOLES, Clarke;USA;57.4;57.4;0.0
4961;Olympic Games;LCM;1952;Men;400m freestyle;1;BOITEUX, Jean;FRA;4:30.7;270.7;0.6
5052;Olympic Games;LCM;1952;Men;1500m freestyle;1;KONNO, Ford;USA;18:30.3;1110.3;11.1
5101;Olympic Games;LCM;1952;Men;100m backstroke;1;OYAKAWA, Yoshinobu;USA;1:05.4;65.4;0.8
5169;Olympic Games;LCM;1952;Men;200m breaststroke;1;DAVIES, John;AUS;2:34.4;154.4;0.3
5351;Olympic Games;LCM;1956;Women;100m freestyle;1;FRASER, Dawn;AUS;1:02.0;62;0.3
5411;Olympic Games;LCM;1956;Women;400m freestyle;1;CRAPP, Lorraine;AUS;4:54.6;294.6;7.9
5447;Olympic Games;LCM;1956;Women;100m butterfly;1;MANN, Shelley;USA;1:11.0;71;0.9
5469;Olympic Games;LCM;1956;Women;100m backstroke;1;GRINHAM, Judith;GBR;1:12.9;72.9;0.0
5500;Olympic Games;LCM;1956;Women;200m breaststroke;1;HAPPE, Ursula;GER;2:53.1;173.1;1.7
5596;Olympic Games;LCM;1956;Men;100m freestyle;1;HENRICKS, Jon;AUS;55.4;55.4;0.4
5654;Olympic Games;LCM;1956;Men;400m freestyle;1;ROSE, Murray;AUS;4:27.3;267.3;3.1
5699;Olympic Games;LCM;1956;Men;1500m freestyle;1;ROSE, Murray;AUS;17:58.9;1078.9;1.4
5735;Olympic Games;LCM;1956;Men;200m butterfly;1;YORZYK, William;USA;2:19.3;139.3;4.5
5762;Olympic Games;LCM;1956;Men;100m backstroke;1;THEILE, David;AUS;1:02.2;62.2;1.0
5811;Olympic Games;LCM;1956;Men;200m breaststroke;1;FURUKAWA, Masaru;JPN;2:34.7;154.7;2.0
5916;Olympic Games;LCM;1960;Women;100m freestyle;1;FRASER, Dawn;AUS;1:01.2;61.2;1.6
5972;Olympic Games;LCM;1960;Women;400m freestyle;1;VON SALTZA, Chris;USA;4:50.6;290.6;3.3
6003;Olympic Games;LCM;1960;Women;100m butterfly;1;SCHULER, Carolyn;USA;1:09.5;69.5;0.9
6039;Olympic Games;LCM;1960;Women;100m backstroke;1;BURKE, Lynn;USA;1:09.3;69.3;1.5
6077;Olympic Games;LCM;1960;Women;200m breaststroke;1;LONSBROUGH, Anita;GBR;2:49.5;169.5;0.5
6275;Olympic Games;LCM;1960;Men;100m freestyle;2;LARSON, Lance;USA;55.1;55.1;0.1
6359;Olympic Games;LCM;1960;Men;400m freestyle;1;ROSE, Murray;AUS;4:18.3;258.3;3.1
6408;Olympic Games;LCM;1960;Men;1500m freestyle;1;KONRADS, John;AUS;17:19.6;1039.6;2.1
6449;Olympic Games;LCM;1960;Men;200m butterfly;1;TROY, Mike;USA;2:12.8;132.8;1.8
6514;Olympic Games;LCM;1960;Men;100m backstroke;1;THEILE, David;AUS;1:01.9;61.9;0.2
6575;Olympic Games;LCM;1960;Men;200m breaststroke;1;MULLIKEN, Bill;USA;2:37.4;157.4;0.6
6842;Olympic Games;LCM;1964;Women;100m freestyle;1;FRASER, Dawn;AUS;59.5;59.5;0.4
6910;Olympic Games;LCM;1964;Women;400m freestyle;1;DUENKEL, Ginny;USA;4:43.3;283.3;1.3
6956;Olympic Games;LCM;1964;Women;100m butterfly;1;STOUDER, Sharon;USA;1:04.7;64.7;0.9
7015;Olympic Games;LCM;1964;Women;100m backstroke;1;FERGUSON, Cathy;USA;1:07.7;67.7;0.2
7054;Olympic Games;LCM;1964;Women;200m breaststroke;1;PROZUMENSHCHIKOVA, Galina;URS;2:46.4;166.4;1.2
7090;Olympic Games;LCM;1964;Women;400m individual medley;1;DE VARONA, Donna;USA;5:18.7;318.7;5.4
7264;Olympic Games;LCM;1964;Men;100m freestyle;1;SCHOLLANDER, Don;USA;53.4;53.4;0.1
7363;Olympic Games;LCM;1964;Men;400m freestyle;1;SCHOLLANDER, Don;USA;4:12.2;252.2;2.7
7426;Olympic Games;LCM;1964;Men;1500m freestyle;1;WINDLE, Robert;AUS;17:01.7;1021.7;1.3
7465;Olympic Games;LCM;1964;Men;200m butterfly;1;BERRY, Kevin;AUS;2:06.6;126.6;0.9
7524;Olympic Games;LCM;1964;Men;200m backstroke;1;GRAEF, Jed;USA;2:10.3;130.3;0.2
7583;Olympic Games;LCM;1964;Men;200m breaststroke;1;O'BRIEN, Ian;AUS;2:27.8;147.8;0.4
7642;Olympic Games;LCM;1964;Men;400m individual medley;1;ROTH, Dick;USA;4:45.4;285.4;1.7
7946;Olympic Games;LCM;1968;Women;100m freestyle;1;HENNE, Jan;USA;1:00.0;60;0.3
8039;Olympic Games;LCM;1968;Women;200m freestyle;1;MEYER, Debbie;USA;2:10.5;130.5;0.5
8094;Olympic Games;LCM;1968;Women;400m freestyle;1;MEYER, Debbie;USA;4:31.8;271.8;3.7
8141;Olympic Games;LCM;1968;Women;800m freestyle;1;MEYER, Debbie;USA;9:24.0;564;11.7
8182;Olympic Games;LCM;1968;Women;100m butterfly;1;MCCLEMENTS, Lynette;AUS;1:05.5;65.5;0.3
8241;Olympic Games;LCM;1968;Women;200m butterfly;1;KOK, Ada;NED;2:24.7;144.7;0.1
8274;Olympic Games;LCM;1968;Women;100m backstroke;1;HALL, Kaye;USA;1:06.2;66.2;0.5
8339;Olympic Games;LCM;1968;Women;200m backstroke;1;WATSON, Lillian Debra;USA;2:24.8;144.8;2.6
8384;Olympic Games;LCM;1968;Women;100m breaststroke;1;BJEDOV, Djurdjica;YUG;1:15.8;75.8;0.1
8444;Olympic Games;LCM;1968;Women;200m breaststroke;1;WICHMAN, Sharon;USA;2:44.4;164.4;2.0
8486;Olympic Games;LCM;1968;Women;200m individual medley;1;KOLB, Claudia;USA;2:24.7;144.7;4.1
8539;Olympic Games;LCM;1968;Women;400m individual medley;1;KOLB, Claudia;USA;5:08.5;308.5;13.7
8772;Olympic Games;LCM;1968;Men;100m freestyle;1;WENDEN, Mike;AUS;52.2;52.2;0.6
8870;Olympic Games;LCM;1968;Men;200m freestyle;1;WENDEN, Mike;AUS;1:55.2;115.2;0.6
8946;Olympic Games;LCM;1968;Men;400m freestyle;1;BURTON, Michael;USA;4:09.0;249;2.7
8995;Olympic Games;LCM;1968;Men;1500m freestyle;1;BURTON, Michael;USA;16:38.9;998.9;18.4
9035;Olympic Games;LCM;1968;Men;100m butterfly;1;RUSSELL, Douglas Albert;USA;55.9;55.9;0.5
9116;Olympic Games;LCM;1968;Men;200m butterfly;1;ROBIE, Carl;USA;2:08.7;128.7;0.3
9160;Olympic Games;LCM;1968;Men;100m backstroke;1;MATTHES, Roland;GDR;58.7;58.7;1.5
9223;Olympic Games;LCM;1968;Men;200m backstroke;1;MATTHES, Roland;GDR;2:09.6;129.6;1.0
9267;Olympic Games;LCM;1968;Men;100m breaststroke;1;MCKENZIE, Don;USA;1:07.7;67.7;0.3
9340;Olympic Games;LCM;1968;Men;200m breaststroke;1;MUNOZ, Felipe;MEX;2:28.7;148.7;0.5
9387;Olympic Games;LCM;1968;Men;200m individual medley;1;HICKCOX, Charles;USA;2:12.0;132;1.0
9443;Olympic Games;LCM;1968;Men;400m individual medley;1;HICKCOX, Charles;USA;4:48.4;288.4;0.3
9786;Olympic Games;LCM;1972;Women;100m freestyle;1;NEILSON, Sandra;USA;58.59;58.59;0.43
9858;Olympic Games;LCM;1972;Women;200m freestyle;1;GOULD, Shane;AUS;2:03.56;123.56;0.77
9901;Olympic Games;LCM;1972;Women;400m freestyle;1;GOULD, Shane;AUS;4:19.04;259.04;3.40
9940;Olympic Games;LCM;1972;Women;800m freestyle;1;ROTHHAMMER, Keena;USA;8:53.68;533.68;2.71
9984;Olympic Games;LCM;1972;Women;100m butterfly;1;AOKI, Mayumi;JPN;1:03.34;63.34;0.27
10040;Olympic Games;LCM;1972;Women;200m butterfly;1;MOE, Karen;USA;2:15.57;135.57;0.77
10075;Olympic Games;LCM;1972;Women;100m backstroke;1;BELOTE, Melissa;USA;1:05.78;65.78;0.48
10138;Olympic Games;LCM;1972;Women;200m backstroke;1;BELOTE, Melissa;USA;2:19.19;139.19;1.19
10185;Olympic Games;LCM;1972;Women;100m breaststroke;1;CARR, Cathy;USA;1:13.58;73.58;1.41
10249;Olympic Games;LCM;1972;Women;200m breaststroke;1;WHITFIELD, Beverley;AUS;2:41.71;161.71;0.34
10299;Olympic Games;LCM;1972;Women;200m individual medley;1;GOULD, Shane;AUS;2:23.07;143.07;0.52
10355;Olympic Games;LCM;1972;Women;400m individual medley;1;NEALL, Gail;AUS;5:02.97;302.97;0.60
10595;Olympic Games;LCM;1972;Men;100m freestyle;1;SPITZ, Mark;USA;51.22;51.22;0.43
10671;Olympic Games;LCM;1972;Men;200m freestyle;1;SPITZ, Mark;USA;1:52.78;112.78;0.95
10732;Olympic Games;LCM;1972;Men;400m freestyle;1;COOPER, Brad;AUS;4:00.27;240.27;1.67
10783;Olympic Games;LCM;1972;Men;1500m freestyle;1;BURTON, Michael;USA;15:52.58;952.58;5.90
10836;Olympic Games;LCM;1972;Men;100m butterfly;1;SPITZ, Mark;USA;54.27;54.27;1.29
10900;Olympic Games;LCM;1972;Men;200m butterfly;1;SPITZ, Mark;USA;2:00.70;120.7;2.16
10939;Olympic Games;LCM;1972;Men;100m backstroke;1;MATTHES, Roland;GDR;56.58;56.58;1.12
11006;Olympic Games;LCM;1972;Men;200m backstroke;1;MATTHES, Roland;GDR;2:02.82;122.82;1.27
11054;Olympic Games;LCM;1972;Men;100m breaststroke;1;TAGUCHI, Nobutaka;JPN;1:04.94;64.94;0.49
11123;Olympic Games;LCM;1972;Men;200m breaststroke;1;HENCKEN, John;USA;2:21.55;141.55;2.12
11174;Olympic Games;LCM;1972;Men;200m individual medley;1;LARSSON, Karl;SWE;2:07.17;127.17;1.20
11224;Olympic Games;LCM;1972;Men;400m individual medley;1;LARSSON, Karl;SWE;4:31.98;271.98;0.00
11553;Olympic Games;LCM;1976;Women;100m freestyle;1;ENDER, Kornelia;GDR;55.65;55.65;0.84
11626;Olympic Games;LCM;1976;Women;200m freestyle;1;ENDER, Kornelia;GDR;1:59.26;119.26;1.96
11676;Olympic Games;LCM;1976;Women;400m freestyle;1;THUMER, Petra;GDR;4:09.89;249.89;0.57
11719;Olympic Games;LCM;1976;Women;800m freestyle;1;THUMER, Petra;GDR;8:37.14;517.14;0.45
11749;Olympic Games;LCM;1976;Women;100m butterfly;1;ENDER, Kornelia;GDR;1:00.13;60.13;0.85
11814;Olympic Games;LCM;1976;Women;200m butterfly;1;POLLACK, Andrea;GDR;2:11.41;131.41;1.09
11856;Olympic Games;LCM;1976;Women;100m backstroke;1;RICHTER, Ulrike;GDR;1:01.83;61.83;1.58
11914;Olympic Games;LCM;1976;Women;200m backstroke;1;RICHTER, Ulrike;GDR;2:13.43;133.43;1.54
11954;Olympic Games;LCM;1976;Women;100m breaststroke;1;ANKE, Hannelore;GDR;1:11.16;71.16;1.88
12018;Olympic Games;LCM;1976;Women;200m breaststroke;1;KOSHEVAYA, Marina;URS;2:33.35;153.35;2.73
12065;Olympic Games;LCM;1976;Women;400m individual medley;1;TAUBER, Ulrike;GDR;4:42.77;282.77;5.33
12285;Olympic Games;LCM;1976;Men;100m freestyle;1;MONTGOMERY, Jim;USA;49.99;49.99;0.82
12354;Olympic Games;LCM;1976;Men;200m freestyle;1;FURNISS, Bruce;USA;1:50.29;110.29;0.21
12421;Olympic Games;LCM;1976;Men;400m freestyle;1;GOODELL, Brian;USA;3:51.93;231.93;0.61
12479;Olympic Games;LCM;1976;Men;1500m freestyle;1;GOODELL, Brian;USA;15:02.40;902.4;1.51
12523;Olympic Games;LCM;1976;Men;100m butterfly;1;VOGEL, Matt;USA;54.35;54.35;0.15
12593;Olympic Games;LCM;1976;Men;200m butterfly;1;BRUNER, Mike;USA;1:59.23;119.23;0.31
12645;Olympic Games;LCM;1976;Men;100m backstroke;1;NABER, John;USA;55.49;55.49;0.85
12711;Olympic Games;LCM;1976;Men;200m backstroke;1;NABER, John;USA;1:59.19;119.19;1.36
12755;Olympic Games;LCM;1976;Men;100m breaststroke;1;HENCKEN, John;USA;1:03.11;63.11;0.32
12815;Olympic Games;LCM;1976;Men;200m breaststroke;1;WILKIE, David;GBR;2:15.11;135.11;2.15
12854;Olympic Games;LCM;1976;Men;400m individual medley;1;STRACHAN, Rod;USA;4:23.68;263.68;0.94
13094;Olympic Games;LCM;1980;Women;100m freestyle;1;KRAUSE, Barbara;GDR;54.79;54.79;0.37
13133;Olympic Games;LCM;1980;Women;200m freestyle;1;KRAUSE, Barbara;GDR;1:58.33;118.33;1.31
13167;Olympic Games;LCM;1980;Women;400m freestyle;1;DIERS, Ines;GDR;4:08.76;248.76;0.40
13195;Olympic Games;LCM;1980;Women;800m freestyle;1;FORD, Michelle;AUS;8:28.90;508.9;3.65
13219;Olympic Games;LCM;1980;Women;100m butterfly;1;METSCHUCK, Caren;GDR;1:00.42;60.42;0.48
13252;Olympic Games;LCM;1980;Women;200m butterfly;1;GEISSLER, Ines;GDR;2:10.44;130.44;0.01
13281;Olympic Games;LCM;1980;Women;100m backstroke;1;REINISCH, Rica;GDR;1:00.86;60.86;1.21
13316;Olympic Games;LCM;1980;Women;200m backstroke;1;REINISCH, Rica;GDR;2:11.77;131.77;1.98
13348;Olympic Games;LCM;1980;Women;100m breaststroke;1;GEWENIGER, Ute;GDR;1:10.22;70.22;0.19
13382;Olympic Games;LCM;1980;Women;200m breaststroke;1;KACIUSYTE, Lina;URS;2:29.54;149.54;0.07
13415;Olympic Games;LCM;1980;Women;400m individual medley;1;SCHNEIDER, Petra;GDR;4:36.29;276.29;10.54
13583;Olympic Games;LCM;1980;Men;100m freestyle;1;WOITHE, Jorg;GDR;50.40;50.4;0.51
13647;Olympic Games;LCM;1980;Men;200m freestyle;1;KOPLIAKOV, Sergei;URS;1:49.81;109.81;0.95
13703;Olympic Games;LCM;1980;Men;400m freestyle;1;SALNIKOV, Vladimir;URS;3:51.31;231.31;1.93
13747;Olympic Games;LCM;1980;Men;1500m freestyle;1;SALNIKOV, Vladimir;URS;14:58.27;898.27;16.03
13776;Olympic Games;LCM;1980;Men;100m butterfly;1;ARVIDSSON, Par;SWE;54.92;54.92;0.02
13835;Olympic Games;LCM;1980;Men;200m butterfly;1;FESENKO SR., Sergei;URS;1:59.76;119.76;1.44
13870;Olympic Games;LCM;1980;Men;100m backstroke;1;BARON, Bengt;SWE;56.53;56.53;0.46
13929;Olympic Games;LCM;1980;Men;200m backstroke;1;WLADAR, Sandor;HUN;2:01.93;121.93;0.47
13965;Olympic Games;LCM;1980;Men;100m breaststroke;1;GOODHEW, Duncan;GBR;1:03.34;63.34;0.48
14001;Olympic Games;LCM;1980;Men;200m breaststroke;1;ZULPA, Robertas;URS;2:15.85;135.85;1.08
14029;Olympic Games;LCM;1980;Men;400m individual medley;1;SIDORENKO, Aleksandr;URS;4:22.89;262.89;0.54
14232;Olympic Games;LCM;1984;Women;100m freestyle;1;STEINSEIFER, Carrie;USA;55.92;55.92;0.00
14293;Olympic Games;LCM;1984;Women;200m freestyle;1;WAYTE, Mary;USA;1:59.23;119.23;0.27
14347;Olympic Games;LCM;1984;Women;400m freestyle;1;COHEN, Tiffany;USA;4:07.10;247.1;3.17
14389;Olympic Games;LCM;1984;Women;800m freestyle;1;COHEN, Tiffany;USA;8:24.95;504.95;5.78
14420;Olympic Games;LCM;1984;Women;100m butterfly;1;MEAGHER, Mary T;USA;59.26;59.26;0.93
14472;Olympic Games;LCM;1984;Women;200m butterfly;1;MEAGHER, Mary T;USA;2:06.90;126.9;3.66
14521;Olympic Games;LCM;1984;Women;100m backstroke;1;ANDREWS, Theresa;USA;1:02.55;62.55;0.08
14571;Olympic Games;LCM;1984;Women;200m backstroke;1;DE ROVER, Jolanda;NED;2:12.38;132.38;0.66
14616;Olympic Games;LCM;1984;Women;100m breaststroke;1;VAN STAVEREN, Petra;NED;1:09.88;69.88;0.81
14662;Olympic Games;LCM;1984;Women;200m breaststroke;1;OTTENBRITE, Anne;CAN;2:30.38;150.38;0.77
14701;Olympic Games;LCM;1984;Women;200m individual medley;1;CAULKINS, Tracy;USA;2:12.64;132.64;2.53
14747;Olympic Games;LCM;1984;Women;400m individual medley;1;CAULKINS, Tracy;USA;4:39.24;279.24;9.06
14947;Olympic Games;LCM;1984;Men;100m freestyle;1;GAINES, Rowdy;USA;49.80;49.8;0.44
15031;Olympic Games;LCM;1984;Men;200m freestyle;1;GROSS, Michael;FRG;1:47.44;107.44;1.66
15103;Olympic Games;LCM;1984;Men;400m freestyle;1;DICARLO, George;USA;3:51.23;231.23;0.26
15156;Olympic Games;LCM;1984;Men;1500m freestyle;1;O'BRIEN, Michael;USA;15:05.20;905.2;5.39
15192;Olympic Games;LCM;1984;Men;100m butterfly;1;GROSS, Michael;FRG;53.08;53.08;0.15
15261;Olympic Games;LCM;1984;Men;200m butterfly;1;SIEBEN, Jon;AUS;1:57.04;117.04;0.36
15315;Olympic Games;LCM;1984;Men;100m backstroke;1;CAREY, Rick;USA;55.79;55.79;0.56
15380;Olympic Games;LCM;1984;Men;200m backstroke;1;CAREY, Rick;USA;2:00.23;120.23;1.52
15434;Olympic Games;LCM;1984;Men;100m breaststroke;1;LUNDQUIST, Steve;USA;1:01.65;61.65;0.34
15502;Olympic Games;LCM;1984;Men;200m breaststroke;1;DAVIS, Victor;CAN;2:13.34;133.34;2.45
15567;Olympic Games;LCM;1984;Men;200m individual medley;1;BAUMANN, Alex;CAN;2:01.42;121.42;1.63
15629;Olympic Games;LCM;1984;Men;400m individual medley;1;BAUMANN, Alex;CAN;4:17.41;257.41;1.04
16000;Olympic Games;LCM;1988;Women;50m freestyle;1;OTTO, Kristin;GDR;25.49;25.49;0.15
16066;Olympic Games;LCM;1988;Women;100m freestyle;1;OTTO, Kristin;GDR;54.93;54.93;0.54
16140;Olympic Games;LCM;1988;Women;200m freestyle;1;FRIEDRICH, Heike;GDR;1:57.65;117.65;1.02
16201;Olympic Games;LCM;1988;Women;400m freestyle;1;EVANS, Janet;USA;4:03.85;243.85;2.09
16247;Olympic Games;LCM;1988;Women;800m freestyle;1;EVANS, Janet;USA;8:20.20;500.2;1.89
16282;Olympic Games;LCM;1988;Women;100m butterfly;1;OTTO, Kristin;GDR;59.00;59;0.45
16338;Olympic Games;LCM;1988;Women;200m butterfly;1;NORD, Kathleen;GDR;2:09.51;129.51;0.40
16382;Olympic Games;LCM;1988;Women;100m backstroke;1;OTTO, Kristin;GDR;1:00.89;60.89;0.67
16443;Olympic Games;LCM;1988;Women;200m backstroke;1;EGERSZEGI, Krisztina;HUN;2:09.29;129.29;1.32
16493;Olympic Games;LCM;1988;Women;100m breaststroke;1;BOGOMILOVA-DANGALAKOVA, Tanya;BUL;1:07.95;67.95;0.79
16553;Olympic Games;LCM;1988;Women;200m breaststroke;1;HORNER, Silke;GDR;2:26.71;146.71;0.78
16612;Olympic Games;LCM;1988;Women;200m individual medley;1;HUNGER, Daniela;GDR;2:12.59;132.59;0.72
16665;Olympic Games;LCM;1988;Women;400m individual medley;1;EVANS, Janet;USA;4:37.76;277.76;1.70
16908;Olympic Games;LCM;1988;Men;50m freestyle;1;BIONDI, Matt;USA;22.14;22.14;0.22
16995;Olympic Games;LCM;1988;Men;100m freestyle;1;BIONDI, Matt;USA;48.63;48.63;0.45
17089;Olympic Games;LCM;1988;Men;200m freestyle;1;ARMSTRONG, Duncan;AUS;1:47.25;107.25;0.64
17168;Olympic Games;LCM;1988;Men;400m freestyle;1;DASSLER, Uwe;GDR;3:46.95;226.95;0.20
